kms_driven,owner,age,power,brand,actual_price,predicted_price
20000.0,1,8.0,180.0,7,32000.0,39819.15
25000.0,2,8.0,200.0,10,67000.0,95951.0
10000.0,1,5.0,750.0,15,421000.0,419937.0
12061.0,1,4.0,180.0,1,65000.0,67196.0
26000.0,2,7.0,350.0,2,80600.0,93151.59285714285
6500.0,1,4.0,160.0,7,80000.0,62566.0
21000.0,1,6.0,350.0,2,105000.0,98806.73809523809
29530.0,1,4.0,100.0,7,23000.0,28475.0
15500.0,1,3.0,220.0,7,80000.0,79585.0
23105.0,1,15.0,100.0,6,16000.0,17930.0
4899.0,2,5.0,750.0,15,370000.0,368883.0
15823.0,1,5.0,100.0,6,30100.0,32090.666666666664
28524.0,3,8.0,150.0,5,30000.0,51517.84
23511.0,1,4.0,220.0,7,68000.0,68958.36666666667
24000.0,1,4.0,350.0,2,130000.0,121722.8
33000.0,1,12.0,150.0,5,26000.0,23825.0
46411.0,1,6.0,125.0,6,25000.0,32253.0
3810.0,1,2.0,150.0,4,83000.0,102330.35
20644.0,1,5.0,150.0,7,44000.0,40379.4
35000.0,1,13.0,100.0,6,15000.0,15185.290476190476
59752.0,1,10.0,125.0,7,14000.0,20825.0
14482.0,1,2.0,310.0,16,350000.0,231051.73333333337
16278.0,1,5.0,110.0,6,31000.0,35510.0
18988.0,1,6.0,100.0,6,36000.0,32248.49
45000.0,2,10.0,223.0,6,29500.0,29359.0
6500.0,1,3.0,390.0,10,200000.0,203860.0
11000.0,1,3.0,150.0,8,82000.0,88733.08
13608.0,1,5.0,180.0,1,60000.0,61671.96
7845.0,1,5.0,150.0,7,52000.0,54459.95
34879.0,1,10.0,125.0,7,17998.0,18434.0
2000.0,1,6.0,350.0,2,91000.0,104500.0
27167.0,1,5.0,150.0,8,58000.0,56187.56666666666
22000.0,1,5.0,350.0,2,105000.0,129420.7142857143
17300.0,1,6.0,300.0,9,225000.0,197424.98
7419.0,1,3.0,150.0,8,72000.0,76644.995
57000.0,1,6.0,150.0,8,40000.0,40701.80952380952
47042.0,1,5.0,220.0,7,55000.0,52836.0
42107.0,2,10.0,135.0,7,16000.0,25279.38
26500.0,1,7.0,100.0,7,32000.0,23128.66666666667
18677.0,1,6.0,100.0,1,33000.0,23187.0
8800.0,1,3.0,150.0,4,65000.0,99582.16666666666
9494.0,1,6.0,500.0,2,121000.0,130200.0
28700.0,2,6.0,150.0,4,46000.0,58887.97
20375.0,1,6.0,100.0,6,35000.0,26725.0
14432.0,1,4.0,160.0,5,53000.0,66262.90333333334
13000.0,1,4.0,350.0,2,130000.0,105608.0
44002.0,1,5.0,100.0,7,23000.0,22545.0
15000.0,1,4.0,180.0,7,57500.0,57852.48142857142
6400.0,1,4.0,600.0,9,580000.0,550100.0
11760.0,1,4.0,200.0,7,100000.0,93823.5
18813.0,1,7.0,100.0,1,30000.0,28336.6
52594.0,1,3.0,200.0,1,90000.0,72780.0
13459.0,1,5.0,350.0,2,98000.0,119375.95238095237
23931.0,1,4.0,400.0,7,115000.0,120247.99999999999
2200.0,1,7.0,750.0,15,360000.0,382555.16666666674
12580.0,2,11.0,150.0,4,23300.0,27955.0
19000.0,1,5.0,160.0,5,42000.0,63280.0
8094.0,1,3.0,410.0,2,200000.0,161750.28
25000.0,1,11.0,100.0,6,29000.0,22997.8
14324.0,1,5.0,390.0,10,130000.0,120962.47
7481.0,1,5.0,500.0,2,145000.0,143459.63
29057.0,1,10.0,150.0,7,21000.0,25607.0
18300.0,1,7.0,150.0,5,76200.0,50748.66666666666
36027.0,1,5.0,150.0,7,35000.0,40170.19047619047
31477.0,1,11.0,150.0,7,23000.0,16689.0
56478.0,1,9.0,350.0,2,80000.0,63490.0
48000.0,1,13.0,150.0,5,20500.0,21709.92
29428.0,1,9.0,150.0,4,22000.0,32261.95238095238
3900.0,2,2.0,390.0,10,215900.0,224298.2
22310.0,1,11.0,125.0,5,23000.0,24926.0
19631.0,2,4.0,400.0,7,140000.0,122453.35666666666
27000.0,1,7.0,200.0,10,110000.0,92239.0
8347.0,1,4.0,200.0,7,79900.0,94524.94
18158.0,1,6.0,150.0,8,53000.0,44232.2
37000.0,1,9.0,150.0,5,35000.0,49450.0
